,CHARACTERISTIC_NAME,CHARACTERISTIC_ID
787,"        Bisaya, n.o.s.",1207
788,        Cebuano,1208
789,        Fijian,1209
790,        Hiligaynon,1210
791,        Ilocano,1211
792,        Indonesian,1212
793,        Kankanaey,1213
794,        Kinaray-a,1214
795,        Malagasy languages,1215
796,          Merina,1216
797,"          Malagasy, n.o.s.",1217
798,        Malay,1218
799,"        Pampangan (Kapampangan, Pampango)",1219
800,        Pangasinan,1220
801,"        Tagalog (Pilipino, Filipino)",1221
802,        Waray-Waray,1222
803,"        Austronesian languages, n.i.e.",1223
804,      Creole languages,1224
805,        Haitian Creole,1225
806,        Jamaican English Creole,1226
807,        Krio,1227
808,        Morisyen,1228
809,        Sango,1229
810,"        Creole, n.o.s.",1230
811,"        Creole languages, n.i.e.",1231
812,      Dravidian languages,1232
813,        Kannada,1233
814,        Malayalam,1234
815,        Tamil,1235
816,        Telugu,1236
817,        Tulu,1237
818,"        Dravidian languages, n.i.e.",1238
819,      Georgian,1239
820,      Hmong-Mien languages,1240
821,      Indo-European languages,1241
822,        Albanian,1242
823,        Armenian,1243
824,        Balto-Slavic languages,1244
825,        Baltic languages,1245
826,            Latvian,1246
827,            Lithuanian,1247
828,          Slavic languages,1248
829,            Belarusian,1249
830,            Bulgarian,1250
831,            Czech,1251
832,            Macedonian,1252
833,            Polish,1253
834,            Russian,1254
835,            Rusyn,1255
836,            Serbo-Croatian,1256
837,              Bosnian,1257
838,              Croatian,1258
839,              Serbian,1259
840,"              Serbo-Croatian, n.i.e.",1260
841,            Slovak,1261
842,            Slovene (Slovenian),1262
843,            Ukrainian,1263
844,"            Slavic languages, n.i.e.",1264
845,        Celtic languages,1265
846,          Irish,1266
847,          Scottish Gaelic,1267
848,          Welsh,1268
849,"          Celtic languages, n.i.e.",1269
850,        Germanic languages,1270
851,          Frisian,1271
852,          High German languages,1272
853,            German,1273
854,            Pennsylvania German,1274
855,            Swiss German,1275
856,            Yiddish,1276
857,          Low Saxon-Low Franconian languages,1277
858,            Afrikaans,1278
859,            Dutch,1279
860,"            Low German, n.o.s.",1280
861,            Low Saxon,1281
862,            Plautdietsch,1282
863,            Vlaams (Flemish),1283
864,          Scandinavian languages,1284
865,            Danish,1285
866,            Icelandic,1286
867,            Norwegian,1287
868,            Swedish,1288
869,"          Germanic languages, n.i.e.",1289
870,        Greek,1290
871,        Indo-Iranian languages,1291
872,          Indo-Aryan languages,1292
873,            Assamese,1293
874,            Bengali,1294
875,            Gujarati,1295
876,            Hindi,1296
877,            Kacchi,1297
878,            Kashmiri,1298
879,            Konkani,1299
880,            Marathi,1300
881,            Nepali,1301
882,            Oriya languages,1302
883,              Odia,1303
884,"              Oriya, n.o.s.",1304
885,            Punjabi (Panjabi),1305
886,            Rohingya,1306
887,            Sindhi,1307
888,            Sinhala (Sinhalese),1308
889,            Urdu,1309
890,"            Indo-Aryan languages, n.i.e.",1310
891,          Iranian languages,1311
892,            Baluchi,1312
893,            Kurdish,1313
894,            Parsi,1314
895,            Pashto,1315
896,            Persian languages,1316
897,              Dari,1317
898,              Iranian Persian,1318
899,"              Persian (Farsi), n.o.s.",1319
900,"            Iranian languages, n.i.e.",1320
901,"          Indo-Iranian languages, n.i.e.",1321
902,        Italic (Romance) languages,1322
903,          Catalan,1323
904,          Italian,1324
905,          Portuguese,1325
906,          Romanian,1326
907,          Spanish,1327
908,"          Italic (Romance) languages, n.i.e.",1328
909,"        Indo-European languages, n.i.e.",1329
910,      Japanese,1330
911,      Korean,1331
912,      Mongolian,1332
913,      Niger-Congo languages,1333
914,        Akan (Twi),1334
915,        Bamanankan,1335
916,        Edo,1336
917,        Éwé,1337
918,"        Fulah (Pular, Pulaar, Fulfulde)",1338
919,        Ga,1339
920,        Ganda,1340
921,        Gikuyu,1341
922,        Igbo,1342
923,        Kinyarwanda (Rwanda),1343
924,        Lingala,1344
925,        Luba-Kasai,1345
926,        Mòoré,1346
927,        Mwani,1347
928,        Ndebele,1348
929,        Rundi (Kirundi),1349
930,        Shona,1350
931,        Soninke,1351
932,        Sotho-Tswana languages,1352
933,        Swahili,1353
934,        Wojenaka,1354
935,        Wolof,1355
936,        Yoruba,1356
937,"        Niger-Congo languages, n.i.e.",1357
938,      Nilo-Saharan languages,1358
939,        Dinka,1359
940,        Nuer,1360
941,"        Nilo-Saharan languages, n.i.e.",1361
942,"        African, n.o.s.",1362
943,      Sign languages,1363
944,        American Sign Language,1364
945,        Quebec Sign Language,1365
946,"        Sign languages, n.i.e.",1366
947,      Sino-Tibetan languages,1367
948,        Chinese languages,1368
949,          Hakka,1369
950,          Mandarin,1370
951,          Min Dong,1371
952,"          Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",1372
953,          Wu (Shanghainese),1373
954,          Yue (Cantonese),1374
955,"          Chinese, n.o.s.",1375
956,"          Chinese languages, n.i.e.",1376
957,        Tibeto-Burman languages,1377
958,          Burmese,1378
959,          Kuki-Chin languages,1379
960,          Karenic languages,1380
961,            S'gaw Karen,1381
962,"            Karenic languages, n.i.e.",1382
963,          Tibetan,1383
964,"          Tibeto-Burman languages, n.i.e.",1384
965,"        Sino-Tibetan languages, n.i.e.",1385
966,      Tai-Kadai languages,1386
967,        Lao,1387
968,        Thai,1388
969,"        Tai-Kadai languages, n.i.e.",1389
970,      Turkic languages,1390
971,        Azerbaijani,1391
972,        Kazakh,1392
973,        Turkish,1393
974,        Uyghur,1394
975,        Uzbek,1395
976,"        Turkic languages, n.i.e.",1396
977,      Uralic languages,1397
978,        Estonian,1398
979,        Finnish,1399
980,        Hungarian,1400
981,"      Other languages, n.i.e.",1401
982,Total - Indigenous identity for the population in private households - 25% sample data,1402
983,  Indigenous identity,1403
984,    Single Indigenous responses,1404
985,      First Nations (North American Indian),1405
986,      Métis,1406
987,      Inuk (Inuit),1407
988,    Multiple Indigenous responses,1408
989,    Indigenous responses not included elsewhere,1409
990,  Non-Indigenous identity,1410
991,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,1411
992,  Registered or Treaty Indian,1412
993,  Not a Registered or Treaty Indian,1413
994,Total - Private households by tenure - 25% sample data,1414
995,  Owner,1415
996,  Renter,1416
997,"  Dwelling provided by the local government, First Nation or Indian band",1417
998,Total - Occupied private dwellings by condominium status - 25% sample data,1418
999,  Condominium,1419
1000,  Not condominium,1420
1001,Total - Occupied private dwellings by number of bedrooms - 25% sample data,1421
1002,  No bedrooms,1422
1003,  1 bedroom,1423
1004,  2 bedrooms,1424
1005,  3 bedrooms,1425
1006,  4 or more bedrooms,1426
1007,Total - Occupied private dwellings by number of rooms - 25% sample data,1427
1008,  1 to 4 rooms,1428
1009,  5 rooms,1429
1010,  6 rooms,1430
1011,  7 rooms,1431
1012,  8 or more rooms,1432
1013,Average number of rooms per dwelling,1433
1014,Total - Private households by number of persons per room - 25% sample data,1434
1015,  One person or fewer per room,1435
1016,  More than one person per room,1436
1017,Total - Private households by housing suitability - 25% sample data,1437
1018,  Suitable,1438
1019,  Not suitable,1439
1020,Total - Occupied private dwellings by period of construction - 25% sample data,1440
1021,  1960 or before,1441
1022,  1961 to 1980,1442
1023,  1981 to 1990,1443
1024,  1991 to 2000,1444
1025,  2001 to 2005,1445
1026,  2006 to 2010,1446
1027,  2011 to 2015,1447
1028,  2016 to 2021,1448
1029,Total - Occupied private dwellings by dwelling condition - 25% sample data,1449
1030,  Only regular maintenance and minor repairs needed,1450
1031,  Major repairs needed,1451
1032,Total - Private households by number of household maintainers - 25% sample data,1452
1033,  One-maintainer household,1453
1034,  Two-maintainer household,1454
1035,  Three-or-more-maintainer household,1455
1036,Total - Private households by age of primary household maintainers - 25% sample data,1456
1037,  15 to 24 years,1457
1038,  25 to 34 years,1458
1039,  35 to 44 years,1459
1040,  45 to 54 years,1460
1041,  55 to 64 years,1461
1042,  65 to 74 years,1462
1043,  75 to 84 years,1463
1044,  85 years and over,1464
1045,"Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",1465
1046,  Spending less than 30% of income on shelter costs,1466
1047,  Spending 30% or more of income on shelter costs,1467
1048,    30% to less than 100%,1468
1049,Total - Occupied private dwellings by housing indicators - 25% sample data,1469
1050,  Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',1470
1051,    Spending 30% or more of income on shelter costs only,1471
1052,    Not suitable only,1472
1053,    Major repairs needed only,1473
1054,    'Spending 30% or more of income on shelter costs' and 'not suitable',1474
1055,    'Spending 30% or more of income on shelter costs' and 'major repairs needed',1475
1056,    'Not suitable' and 'major repairs needed',1476
1057,    'Spending 30% or more of income on shelter costs' and 'not suitable' and 'major repairs needed',1477
1058,  Acceptable housing,1478
1059,"Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data",1479
1060,  In core need,1480
1061,  Not in core need,1481
1062,"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",1482
1063,  % of owner households with a mortgage,1483
1064,  % of owner households spending 30% or more of its income on shelter costs,1484
1065,  % in core housing need,1485
1066,  Median monthly shelter costs for owned dwellings ($),1486
1067,  Average monthly shelter costs for owned dwellings ($),1487
1068,  Median value of dwellings ($),1488
1069,  Average value of dwellings ($),1489
1070,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",1490
1071,  % of tenant households in subsidized housing,1491
1072,  % of tenant households spending 30% or more of its income on shelter costs,1492
1073,  Median monthly shelter costs for rented dwellings ($),1494
1074,  Average monthly shelter costs for rented dwellings ($),1495
1075,"Total - Households living in a dwelling provided by the local government, First Nation or Indian band in non-farm private dwellings - 25% sample data",1496
1076,"  % of households living in a dwelling provided by the local government, First Nation or Indian band spending more than 30% on shelter costs",1497
1077,"  Median monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",1498
1078,"  Average monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",1499
1079,Total - Indigenous ancestry for the population in private households - 25% sample data,1500
1080,  Indigenous ancestry (only),1501
1081,    Single Indigenous ancestry (only),1502
1082,      First Nations (North American Indian) single ancestry,1503
1083,      Métis single ancestry,1504
1084,      Inuit single ancestry,1505
1085,    Multiple Indigenous ancestries (only),1506
1086,      First Nations (North American Indian) and Métis ancestry only,1507
1087,      First Nations (North American Indian) and Inuit ancestry only,1508
1088,      Métis and Inuit ancestry only,1509
1089,      First Nations (North American Indian) and Métis and Inuit ancestry only,1510
1090,  Indigenous and non-Indigenous ancestries,1511
1091,    Single Indigenous and non-Indigenous ancestries,1512
1092,      First Nations (North American Indian) and non-Indigenous ancestry only,1513
1093,      Métis and non-Indigenous ancestry only,1514
1094,      Inuit and non-Indigenous ancestry only,1515
1095,    Multiple Indigenous and non-Indigenous ancestries,1516
1096,      First Nations (North American Indian) and Métis and non-Indigenous ancestry only,1517
1097,      First Nations (North American Indian) and Inuit and non-Indigenous ancestry only,1518
1098,      Métis and Inuit and non-Indigenous ancestry only,1519
1099,      First Nations (North American Indian) and Métis and Inuit and non-Indigenous ancestry only,1520
1100,  Non-Indigenous ancestry only,1521
1101,Total - Citizenship for the population in private households - 25% sample data,1522
1102,  Canadian citizens,1523
1103,    Canadian citizens aged under 18,1524
1104,    Canadian citizens aged 18 and over,1525
1105,  Not Canadian citizens,1526
1106,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,1527
1107,  Non-immigrants,1528
1108,  Immigrants,1529
1109,    Before 1980,1530
1110,    1980 to 1990,1531
1111,    1991 to 2000,1532
1112,    2001 to 2010,1533
1113,    2011 to 2021,1534
1114,      2011 to 2015,1535
1115,      2016 to 2021,1536
1116,  Non-permanent residents,1537
1117,Total - Age at immigration for the immigrant population in private households - 25% sample data,1538
1118,  Under 5 years,1539
1119,  5 to 14 years,1540
1120,  25 to 44 years,1542
1121,  45 years and over,1543
1122,Total - Place of birth for the immigrant population in private households - 25% sample data,1544
1123,  Americas,1545
1124,    Brazil,1546
1125,    Colombia,1547
1126,    El Salvador,1548
1127,    Guyana,1549
1128,    Haiti,1550
1129,    Jamaica,1551
1130,    Mexico,1552
1131,    Peru,1553
1132,    Trinidad and Tobago,1554
1133,    United States of America,1555
1134,    Other places of birth in Americas,1556
1135,  Europe,1557
1136,    Bosnia and Herzegovina,1558
1137,    Croatia,1559
1138,    France,1560
1139,    Germany,1561
1140,    Greece,1562
1141,    Hungary,1563
1142,    Italy,1564
1143,    Netherlands,1565
1144,    Poland,1566
1145,    Portugal,1567
1146,    Romania,1568
1147,    Russian Federation,1569
1148,    Serbia,1570
1149,    Ukraine,1571
1150,    United Kingdom,1572
1151,    Other places of birth in Europe,1573
1152,  Africa,1574
1153,    Algeria,1575
1154,"    Congo, Democratic Republic of the",1576
1155,    Egypt,1577
1156,    Eritrea,1578
1157,    Ethiopia,1579
1158,    Morocco,1580
1159,    Nigeria,1581
1160,    Somalia,1582
1161,"    South Africa, Republic of",1583
1162,    Other places of birth in Africa,1584
1163,  Asia,1585
1164,    Afghanistan,1586
1165,    Iran,1587
1166,    Iraq,1588
1167,    Lebanon,1589
1168,    Syria,1590
1169,    Turkey,1591
1170,    China,1592
1171,    Hong Kong,1593
1172,"    Korea, South",1594
1173,    Taiwan,1595
1174,    Philippines,1596
1175,    Viet Nam,1597
1176,    Bangladesh,1598
1177,    India,1599
1178,    Pakistan,1600
1179,    Sri Lanka,1601
1180,    Other places of birth in Asia,1602
1181,  Oceania and other places of birth,1603
1182,Total - Place of birth for the recent immigrant population in private households - 25% sample data,1604
1183,    Venezuela,1612
1184,    Ireland,1617
1185,    Burundi,1625
1186,    Cameroon,1626
1187,    Côte d'Ivoire,1628
1188,    Sudan,1636
1189,    Tunisia,1637
1190,    Israel,1647
1191,    Japan,1648
1192,    Jordan,1649
1193,    Nepal,1652
1194,    Saudi Arabia,1655
1195,    United Arab Emirates,1659
1196,  Oceania and other,1662
1197,    Australia,1663
1198,    Other places of birth,1664
1199,Total - Generation status for the population in private households - 25% sample data,1665
1200,  First generation,1666
1201,  Second generation,1667
1202,  Third generation or more,1668
1203,Total - Admission category and applicant type for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data,1669
1204,  Economic immigrants,1670
1205,    Principal applicants,1671
1206,    Secondary applicants,1672
1207,  Immigrants sponsored by family,1673
1208,  Refugees,1674
1209,  Other immigrants,1675
1210,Total - Pre-admission experience for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data,1676
1211,  Asylum claim before admission,1677
1212,  Work permits only before admission,1678
1213,  Study permits only before admission,1679
1214,  Work and study permits before admission,1680
1215,  Other permits before admission,1681
1216,  No pre-admission experience,1682
1217,Total - Visible minority for the population in private households - 25% sample data,1683
1218,  Total visible minority population,1684
1219,    South Asian,1685
1220,    Chinese,1686
1221,    Black,1687
1222,    Filipino,1688
1223,    Arab,1689
1224,    Latin American,1690
1225,    Southeast Asian,1691
1226,    West Asian,1692
1227,    Korean,1693
1228,    Japanese,1694
1229,"    Visible minority, n.i.e.",1695
1230,    Multiple visible minorities,1696
1231,  Not a visible minority,1697
1232,Total - Ethnic or cultural origin for the population in private households - 25% sample data,1698
1233,  Canadian,1699
1234,  Irish,1701
1235,  Scottish,1702
1236,"  French, n.o.s.",1703
1237,  German,1704
1238,  Chinese,1705
1239,  Italian,1706
1240,  Indian (India),1707
1241,  Ukrainian,1708
1242,  Dutch,1709
1243,  Polish,1710
1244,  Québécois,1711
1245,"  British Isles, n.o.s.",1712
1246,  Filipino,1713
1247,  French Canadian,1714
1248,"  Caucasian (White), n.o.s.",1715
1249,"  First Nations (North American Indian), n.o.s.",1716
1250,  Métis,1717
1251,"  European, n.o.s.",1718
1252,  Russian,1719
1253,  Norwegian,1720
1254,  Welsh,1721
1255,  Portuguese,1722
1256,  American,1723
1257,  Spanish,1724
1258,  Swedish,1725
1259,  Hungarian,1726
1260,  Acadian,1727
1261,  Pakistani,1728
1262,"  African, n.o.s.",1729
1263,  Jewish,1730
1264,  Punjabi,1731
1265,  Vietnamese,1732
1266,"  Arab, n.o.s.",1733
1267,  Greek,1734
1268,  Jamaican,1735
1269,"  Asian, n.o.s.",1736
1270,"  Cree, n.o.s.",1737
1271,  Korean,1738
1272,  Romanian,1739
1273,  Lebanese,1740
1274,  Iranian,1741
1275,"  Christian, n.i.e.",1742
1276,  Danish,1743
1277,"  North American Indigenous, n.o.s.",1744
1278,  Sikh,1745
1279,  Austrian,1746
1280,  Belgian,1747
1281,  Haitian,1748
1282,  Hindu,1749
1283,  Mexican,1750
1284,  Mennonite,1751
1285,  Swiss,1752
1286,  Finnish,1753
1287,  Sri Lankan,1754
1288,  Croatian,1755
1289,  Japanese,1756
1290,"  South Asian, n.o.s.",1757
1291,"  Mi'kmaq, n.o.s.",1758
1292,"  Northern European, n.o.s.",1759
1293,  Muslim,1760
1294,  Egyptian,1761
1295,"  Latin, Central or South American, n.o.s.",1762
1296,  Tamil,1763
1297,  Icelandic,1764
1298,  Colombian,1765
1299,  Moroccan,1766
1300,  Czech,1767
1301,  Syrian,1768
1302,  Guyanese,1769
1303,  Afghan,1770
1304,"  Black, n.o.s.",1771
1305,  Serbian,1772
1306,  Ojibway,1773
1307,  Newfoundlander,1774
1308,  Hong Konger,1775
1309,  Ontarian,1776
1310,  Persian,1777
1311,  Trinidadian/Tobagonian,1778
1312,  Turkish,1779
1313,"  Inuit, n.o.s.",1780
1314,  Bangladeshi,1781
1315,  Algerian,1782
1316,  Brazilian,1783
1317,  Nigerian,1784
1318,  Armenian,1785
1319,  Slovak,1786
1320,"  Eastern European, n.o.s.",1787
1321,  Somali,1788
1322,  Taiwanese,1789
1323,  Iraqi,1790
1324,  Salvadorean,1791
1325,  African Caribbean,1792
1326,"  East or Southeast Asian, n.o.s.",1793
1327,"  West or Central Asian or Middle Eastern, n.o.s.",1794
1328,"  Caribbean, n.o.s.",1795
1329,  Algonquin,1796
1330,"  West Indian, n.o.s.",1797
1331,  Lithuanian,1798
1332,  South African,1799
1333,  Australian,1800
1334,  Palestinian,1801
1335,  Chilean,1802
1336,  Congolese,1803
1337,  Nova Scotian,1804
1338,  Ethiopian,1805
1339,"  Hispanic, n.o.s.",1806
1340,  Peruvian,1807
1341,  Yoruba,1808
1342,  Cambodian (Khmer),1809
1343,  Berber,1810
1344,  Albanian,1811
1345,  Maltese,1812
1346,  Macedonian,1813
1347,  Slovenian,1814
1348,"  Western European, n.o.s.",1815
1349,  New Brunswicker,1816
1350,  Gujarati,1817
1351,  Eritrean,1818
1352,  African Canadian,1819
1353,  Israeli,1820
1354,  Mohawk,1821
1355,"  Czechoslovakian, n.o.s.",1822
1356,  Bulgarian,1823
1357,  Albertan,1824
1358,  Ghanaian,1825
1359,  Barbadian,1826
1360,  African American,1827
1361,"  Yugoslavian, n.o.s.",1828
1362,  Tunisian,1829
1363,"  Slavic, n.o.s.",1830
1364,  Cuban,1831
1365,  Bosnian,1832
1366,  Venezuelan,1833
1367,"  Innu/Montagnais, n.o.s.",1834
1368,  Latvian,1835
1369,  Bengali,1836
1370,  Cameroonian,1837
1371,  Guatemalan,1838
1372,  Indonesian,1839
1373,  Laotian,1840
1374,  Ilocano,1841
1375,  Northern Irish,1842
1376,"  Celtic, n.o.s.",1843
1377,  British Columbian,1844
1378,  Ecuadorian,1845
1379,  Franco Ontarian,1846
1380,  Argentinian,1847
1381,  Estonian,1848
1382,  Kurdish,1849
1383,  Fijian,1850
1384,  Jatt,1851
1385,"  North American, n.o.s.",1852
1386,  Coptic,1853
1387,  Thai,1854
1388,  Dominican,1855
1389,  Nepali,1856
1390,  Kabyle,1857
1391,  Assyrian,1858
1392,  Igbo,1859
1393,  Byelorussian,1860
1394,"  Dene, n.o.s.",1861
1395,"  Blackfoot, n.o.s.",1862
1396,  Abenaki,1863
1397,  Moldovan,1864
1398,"  Iroquois (Haudenosaunee), n.o.s.",1865
1399,  New Zealander,1866
1400,  Sudanese,1867
1401,  Breton,1868
1402,  Pennsylvania Dutch,1869
1403,  Malaysian,1870
1404,  Plains Cree,1871
1405,"  North African, n.o.s.",1872
1406,  Huron (Wendat),1873
1407,  Saskatchewanian,1874
1408,  Buddhist,1875
1409,  Gaspesian,1876
1410,  Norman,1877
1411,"  Southern or East African, n.o.s.",1878
1412,  Ivorian,1879
1413,  Saulteaux,1880
1414,"  Anishinaabe, n.o.s.",1881
1415,  Burundian,1882
1416,  Tigrinya,1883
1417,  Nicaraguan,1884
1418,  Mauritian,1885
1419,  Kenyan,1886
1420,  Oji-Cree,1887
1421,  Vincentian,1888
1422,  Jordanian,1889
1423,  Manitoban,1890
1424,  Cape Bretoner,1891
1425,  Rwandan,1892
1426,  Grenadian,1893
1427,  Malayali,1894
1428,  Chaldean,1895
1429,  Sinhalese,1896
1430,  Mayan,1897
1431,  Honduran,1898
1432,  Cherokee,1899
1433,  Qalipu Mi'kmaq,1900
1434,  Indo-Caribbean,1901
1435,  Flemish,1902
1436,  United Empire Loyalist,1903
1437,  Senegalese,1904
1438,  Azerbaijani,1905
1439,  Sicilian,1906
1440,  Pashtun,1907
1441,  Malay,1908
1442,  Goan,1909
1443,"  Bantu, n.o.s.",1910
1444,  Tibetan,1911
1445,  Zimbabwean,1912
1446,  Burmese,1913
1447,  Mongolian,1914
1448,  Azorean,1915
1449,  Atikamekw,1916
1450,  Bamileke,1917
1451,  Indo-Guyanese,1918
1452,  Ugandan,1919
1453,  Oromo,1920
1454,  Tanzanian,1921
1455,  Yemeni,1922
1456,  Central African,1923
1457,  Libyan,1924
1458,  Basque,1925
1459,  Uruguayan,1926
1460,"  Akan, n.o.s.",1927
1461,"  Central or West African, n.o.s.",1928
1462,  Igorot,1929
1463,  Fulani,1930
1464,  Woodland Cree,1931
1465,  Guinean,1932
1466,  St. Lucian,1933
1467,  Prince Edward Islander,1934
1468,  Maliseet,1935
1469,  Beninese,1936
1470,  Telugu,1937
1471,  Roma,1938
1472,  Costa Rican,1939
1473,  African Nova Scotian,1940
1474,  Malagasy,1941
1475,  Kashmiri,1942
1476,  Singaporean,1943
1477,  Karen,1944
1478,  Edo,1945
1479,  Tajik,1946
1480,  Amhara,1947
1481,  Paraguayan,1948
1482,Total - Religion for the population in private households - 25% sample data,1949
1483,  Christian,1951
1484,"    Christian, n.o.s.",1952
1485,    Anabaptist,1953
1486,    Anglican,1954
1487,    Baptist,1955
1488,    Catholic,1956
1489,    Christian Orthodox,1957
1490,    Jehovah's Witness,1958
1491,    Latter Day Saints,1959
1492,    Lutheran,1960
1493,    Methodist and Wesleyan (Holiness),1961
1494,    Pentecostal and other Charismatic,1962
1495,    Presbyterian,1963
1496,    Reformed,1964
1497,    United Church,1965
1498,    Other Christian and Christian-related traditions,1966
1499,  Traditional (North American Indigenous) spirituality,1971
1500,  Other religions and spiritual traditions,1972
1501,  No religion and secular perspectives,1973
1502,Total - Mobility status 1 year ago - 25% sample data,1974
1503,  Non-movers,1975
1504,  Movers,1976
1505,    Non-migrants,1977
1506,    Migrants,1978
1507,      Internal migrants,1979
1508,        Intraprovincial migrants,1980
1509,        Interprovincial migrants,1981
1510,      External migrants,1982
1511,Total - Mobility status 5 years ago - 25% sample data,1983
1512,Total - Secondary (high) school diploma or equivalency certificate for the population aged 15 years and over in private households - 25% sample data,1992
1513,  No high school diploma or equivalency certificate,1993
1514,  With high school diploma or equivalency certificate,1994
1515,Total - Secondary (high) school diploma or equivalency certificate for the population aged 25 to 64 years in private households - 25% sample data,1995
1516,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",1998
1517,"  No certificate, diploma or degree",1999
1518,  High (secondary) school diploma or equivalency certificate,2000
1519,"  Postsecondary certificate, diploma or degree",2001
1520,    Postsecondary certificate or diploma below bachelor level,2002
1521,      Apprenticeship or trades certificate or diploma,2003
1522,        Non-apprenticeship trades certificate or diploma,2004
1523,        Apprenticeship certificate,2005
1524,"      College, CEGEP or other non-university certificate or diploma",2006
1525,      University certificate or diploma below bachelor level,2007
1526,    Bachelor's degree or higher,2008
1527,      Bachelor's degree,2009
1528,      University certificate or diploma above bachelor level,2010
1529,"      Degree in medicine, dentistry, veterinary medicine or optometry",2011
1530,      Master's degree,2012
1531,      Earned doctorate,2013
1532,"Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",2014
1533,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 for the population aged 15 years and over in private households - 25% sample data,2030
1534,"  No postsecondary certificate, diploma or degree",2031
1535,  Education,2032
1536,    13. Education,2033
1537,"  Visual and performing arts, and communications technologies",2034
1538,    10. Communications technologies/technicians and support services,2035
1539,    50. Visual and performing arts,2036
1540,  Humanities,2037
1541,"    16. Indigenous and foreign languages, literatures, and linguistics",2038
1542,    23. English language and literature/letters,2039
1543,"    24. Liberal arts and sciences, general studies and humanities",2040
1544,    30A Interdisciplinary humanities,2041
1545,    38. Philosophy and religious studies,2042
1546,    39. Theology and religious vocations,2043
1547,    54. History,2044
1548,    55. French language and literature/lettersCAN,2045
1549,  Social and behavioural sciences and law,2046
1550,"    05. Area, ethnic, cultural, gender, and group studies",2047
1551,"    09. Communication, journalism and related programs",2048
1552,    19. Family and consumer sciences/human sciences,2049
1553,    22. Legal professions and studies,2050
1554,    30B Interdisciplinary social and behavioural sciences,2051
1555,    42. Psychology,2052
1556,    45. Social sciences,2053
1557,"  Business, management and public administration",2054
1558,    30.16 Accounting and computer science,2055
1559,    44. Public administration and social service professions,2056
1560,"    52. Business, management, marketing and related support services",2057
1561,  Physical and life sciences and technologies,2058
1562,    26. Biological and biomedical sciences,2059
1563,    30.01 Biological and physical sciences,2060
1564,    30C Other interdisciplinary physical and life sciences,2061
1565,    40. Physical sciences,2062
1566,    41. Science technologies/technicians,2063
1567,"  Mathematics, computer and information sciences",2064
1568,    11. Computer and information sciences and support services,2065
1569,    25. Library science,2066
1570,    27. Mathematics and statistics,2067
1571,"    30D Interdisciplinary mathematics, computer and information sciences",2068
1572,"  Architecture, engineering, and related trades",2069
1573,    04. Architecture and related services,2070
1574,    14. Engineering,2071
1575,    15. Engineering/engineering-related technologies/technicians,2072
1576,    30.12 Historic preservation and conservation,2073
1577,    46. Construction trades,2074
1578,    47. Mechanic and repair technologies/technicians,2075
1579,    48. Precision production,2076
1580,"  Agriculture, natural resources and conservation",2077
1581,    01. Agricultural and veterinary sciences/services/operations and related fields,2078
1582,    03. Natural resources and conservation,2079
1583,  Health and related fields,2080
1584,    30.37 Design for human health,2081
1585,"    31. Parks, recreation, leisure, fitness, and kinesiology",2082
1586,    51. Health professions and related programs,2083
1587,    60. Health professions residency/fellowship programs,2084
1588,    61. Medical residency/fellowship programs,2085
1589,"  Personal, protective and transportation services",2086
1590,"    12. Culinary, entertainment, and personal services",2087
1591,"    28. Military science, leadership and operational art",2088
1592,    29. Military technologies and applied sciences,2089
1593,    43. Security and protective services,2090
1594,    49. Transportation and materials moving,2091
1595,  Other,2092
1596,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 for the population aged 25 to 64 years in private households - 25% sample data,2093
1597,Total - Location of study compared with province or territory of residence for the population aged 25 to 64 years in private households - 25% sample data,2156
1598,    Location of study inside Canada,2159
1599,      Same as province or territory of residence,2160
1600,      Different than province or territory of residence,2161
1601,    Location of study outside Canada,2162
1602,      Americas,2163
1603,        United States of America,2164
1604,        Mexico,2165
1605,        Cuba,2166
1606,        Haiti,2167
1607,        Jamaica,2168
1608,        Brazil,2169
1609,        Colombia,2170
1610,        Peru,2171
1611,        Venezuela,2172
1612,        Other locations of study in Americas,2173
1613,      Europe,2174
1614,        Belgium,2175
1615,        France,2176
1616,        Germany,2177
1617,        Netherlands,2178
1618,        Switzerland,2179
1619,        Hungary,2180
1620,        Moldova,2181
1621,        Poland,2182
1622,        Romania,2183
1623,        Russian Federation,2184
